OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineAmount,Status
ORDITEM001,ORD001,PROD001,2,49.1,497.33,Cancelled
ORDITEM002,ORD002,PROD002,2,41.51,240.27,Pending
ORDITEM003,ORD003,PROD003,2,68.06,146.98,Pending
ORDITEM004,ORD004,PROD004,2,70.2,442.91,Cancelled
ORDITEM005,ORD005,PROD005,2,87.78,376.38,Pending
ORDITEM006,ORD006,PROD006,1,30.72,477.01,Cancelled
ORDITEM007,ORD007,PROD007,3,54.93,172.07,Delivered
ORDITEM008,ORD008,PROD008,2,61.48,280.85,Pending
ORDITEM009,ORD009,PROD009,4,79.17,290.42,Delivered
ORDITEM010,ORD010,PROD010,3,13.92,490.36,Cancelled
