LifecycleEventID,SubscriberID,EventType,EventDate,ReasonCode,Channel,ServiceID
CLEVS001,SUB001,Activated,2024-02-13,RC1,Retail,SERV001
CLEVS002,SUB002,Churned,2024-11-18,RC2,Call Centre,SERV002
CLEVS003,SUB003,Churned,2024-10-27,RC1,Retail,SERV003
CLEVS004,SUB004,Activated,2024-01-18,RC1,Retail,SERV004
CLEVS005,SUB005,Suspended,2024-03-24,RC2,Call Centre,SERV005
CLEVS006,SUB006,Activated,2024-06-13,RC1,App,SERV006
CLEVS007,SUB007,Churned,2024-04-07,RC3,Call Centre,SERV007
CLEVS008,SUB008,Churned,2023-05-04,RC1,Retail,SERV008
CLEVS009,SUB009,Suspended,2023-09-11,RC2,Retail,SERV009
CLEVS010,SUB010,Churned,2023-08-19,RC2,Call Centre,SERV010
