InvoiceID,AccountID,InvoiceDate,DueDate,TotalAmount,Status,PaidDate
INV001,ACC001,2023-03-07,2024-04-27,216.55,Unpaid,2024-04-09
INV002,ACC002,2024-01-30,2025-11-29,134.42,Unpaid,2023-01-04
INV003,ACC003,2024-01-26,2025-07-03,282.92,Paid,2023-09-27
INV004,ACC004,2024-09-02,2024-09-30,67.13,Unpaid,2024-05-27
INV005,ACC005,2024-04-24,2025-10-18,122.09,Unpaid,2023-07-02
INV006,ACC006,2024-06-25,2024-12-14,60.64,Paid,2024-06-03
INV007,ACC007,2023-09-15,2024-04-24,279.67,Unpaid,2023-04-19
INV008,ACC008,2024-07-20,2024-10-27,266.88,Paid,2024-10-02
INV009,ACC009,2023-01-12,2025-03-21,99.64,Unpaid,2023-11-02
INV010,ACC010,2024-11-27,2024-06-10,208.2,Unpaid,2024-10-16
