SubscriberID,AvgDataUsageMB,AvgVoiceMinutes,DropRate,SMSCount,Region,LastUpdated
SUB001,2192.92,103.65,2.48,99,NSW,2024-12-25
SUB002,1933.42,144.31,3.46,49,NSW,2024-10-08
SUB003,821.25,59.74,1.74,99,QLD,2023-03-02
SUB004,2528.01,204.56,4.68,36,NSW,2023-08-23
SUB005,2551.6,134.14,0.2,82,QLD,2023-03-11
SUB006,2064.85,213.93,2.09,96,NSW,2023-02-02
SUB007,2551.07,146.35,4.84,24,QLD,2023-12-05
SUB008,2128.71,220.4,2.74,23,NSW,2023-03-14
SUB009,1016.71,135.16,2.12,62,VIC,2024-06-10
SUB010,1184.9,115.17,2.84,96,NSW,2023-09-01
