acct_id,custom,type,cycle,cur,state,created,effective_start_date,effective_end_date,is_current,source_system,ingestion_timestamp
sample_0,sample_0,Prepaid,sample_0,sample_0,sample_0,sample_0,2024-01-01,,True,billingsystem,2025-07-13
sample_1,sample_1,Business,sample_1,sample_1,sample_1,sample_1,2024-01-01,,True,billingsystem,2025-07-13
sample_2,sample_2,Prepaid,sample_2,sample_2,sample_2,sample_2,2024-01-01,,True,billingsystem,2025-07-13
sample_3,sample_3,Prepaid,sample_3,sample_3,sample_3,sample_3,2024-01-01,,True,billingsystem,2025-07-13
sample_4,sample_4,Personal,sample_4,sample_4,sample_4,sample_4,2024-01-01,,True,billingsystem,2025-07-13
sample_5,sample_5,Postpaid,sample_5,sample_5,sample_5,sample_5,2024-01-01,,True,billingsystem,2025-07-13
sample_6,sample_6,Personal,sample_6,sample_6,sample_6,sample_6,2024-01-01,,True,billingsystem,2025-07-13
sample_7,sample_7,Business,sample_7,sample_7,sample_7,sample_7,2024-01-01,,True,billingsystem,2025-07-13
sample_8,sample_8,Postpaid,sample_8,sample_8,sample_8,sample_8,2024-01-01,,True,billingsystem,2025-07-13
sample_9,sample_9,Business,sample_9,sample_9,sample_9,sample_9,2024-01-01,,True,billingsystem,2025-07-13
