order_item_id,order_id,product_id,quantity,unit_price,total_price,discount_amount,tax_amount,shipping_cost,item_status
OI001,ORD001,PROD001,1,89.99,89.99,0.00,7.20,5.99,Delivered
OI002,ORD002,PROD002,2,24.99,49.98,5.00,3.60,5.99,Shipped
OI003,ORD003,PROD004,1,199.99,199.99,0.00,16.00,8.99,Processing
OI004,ORD004,PROD003,1,34.99,34.99,0.00,2.80,4.99,Delivered
OI005,ORD005,PROD007,1,79.99,79.99,0.00,6.40,8.99,Cancelled
OI006,ORD006,PROD012,1,129.99,129.99,10.00,9.60,8.99,Shipped
OI007,ORD007,PROD008,1,44.99,44.99,0.00,3.60,5.99,Delivered
OI008,ORD008,PROD013,1,89.99,89.99,0.00,7.20,8.99,Processing
OI009,ORD009,PROD011,1,69.99,69.99,0.00,5.60,8.99,Shipped
OI010,ORD010,PROD010,1,39.99,39.99,0.00,3.20,4.99,Delivered
OI011,ORD011,PROD005,1,49.99,49.99,0.00,4.00,5.99,Cancelled
OI012,ORD012,PROD015,1,24.99,24.99,0.00,2.00,4.99,Shipped
OI013,ORD013,PROD004,1,199.99,199.99,40.00,12.80,8.99,Delivered
OI014,ORD014,PROD013,1,89.99,89.99,0.00,7.20,5.99,Processing
OI015,ORD015,PROD012,1,129.99,129.99,0.00,10.40,8.99,Shipped
OI016,ORD016,PROD008,1,44.99,44.99,0.00,3.60,4.99,Delivered
OI017,ORD017,PROD007,1,79.99,79.99,0.00,6.40,8.99,Processing
OI018,ORD018,PROD004,1,199.99,199.99,0.00,16.00,8.99,Shipped
OI019,ORD019,PROD005,1,49.99,49.99,0.00,4.00,4.99,Delivered
OI020,ORD020,PROD003,1,34.99,34.99,0.00,2.80,5.99,Processing
OI021,ORD001,PROD002,1,24.99,24.99,0.00,2.00,0.00,Delivered
OI022,ORD013,PROD006,1,29.99,29.99,0.00,2.40,0.00,Delivered
OI023,ORD002,PROD003,1,34.99,34.99,0.00,2.80,0.00,Shipped
OI024,ORD009,PROD009,1,59.99,59.99,0.00,4.80,0.00,Shipped
OI025,ORD006,PROD014,1,54.99,54.99,0.00,4.40,0.00,Shipped 
