shipping_id,order_id,carrier_name,tracking_number,shipping_date,estimated_delivery,actual_delivery,shipping_cost,package_weight,package_dimensions,shipping_status
SHIP001,ORD001,FedEx,794658321456,2023-12-02,2023-12-04,2023-12-04,5.99,0.25,15x8x3 cm,Delivered
SHIP002,ORD002,UPS,1Z999AA1234567890,2023-12-03,2023-12-06,2023-12-05,5.99,0.30,30x25x2 cm,Delivered
SHIP003,ORD003,FedEx,794658321457,2023-12-04,2023-12-06,2023-12-06,8.99,0.08,4x4x1 cm,Delivered
SHIP004,ORD004,USPS,9400100000000000000000,2023-12-05,2023-12-08,2023-12-07,4.99,0.50,25x8x8 cm,Delivered
SHIP005,ORD006,UPS,1Z999AA1234567891,2023-12-07,2023-12-10,2023-12-09,8.99,0.80,40x35x5 cm,Delivered
SHIP006,ORD007,FedEx,794658321458,2023-12-08,2023-12-10,2023-12-10,5.99,0.60,20x15x45 cm,Delivered
SHIP007,ORD009,UPS,1Z999AA1234567892,2023-12-10,2023-12-12,2023-12-12,8.99,0.30,12x8x8 cm,Delivered
SHIP008,ORD010,USPS,9400100000000000000001,2023-12-11,2023-12-14,2023-12-13,4.99,1.50,180x60x0.5 cm,Delivered
SHIP009,ORD012,USPS,9400100000000000000002,2023-12-13,2023-12-16,2023-12-15,4.99,0.10,12x6x4 cm,Delivered
SHIP010,ORD013,FedEx,794658321459,2023-12-14,2023-12-16,2023-12-16,8.99,0.08,4x4x1 cm,Delivered
SHIP011,ORD015,UPS,1Z999AA1234567893,2023-12-16,2023-12-19,2023-12-18,8.99,0.80,40x35x5 cm,Delivered
SHIP012,ORD016,USPS,9400100000000000000003,2023-12-17,2023-12-20,2023-12-19,4.99,0.60,20x15x45 cm,Delivered
SHIP013,ORD018,UPS,1Z999AA1234567894,2023-12-19,2023-12-22,2023-12-21,8.99,0.08,4x4x1 cm,Delivered
SHIP014,ORD019,USPS,9400100000000000000004,2023-12-20,2023-12-23,2023-12-22,4.99,0.10,12x9x2 cm,Delivered
SHIP015,ORD020,FedEx,794658321460,2023-12-21,2023-12-23,2023-12-23,5.99,0.50,25x8x8 cm,Delivered 
