ContractID,AccountID,ContractType,StartDate,EndDate,Status,RenewalTerms
CON001,ACC001,No Lock-In,2024-07-28,2026-09-07,Expired,Auto-Renew
CON002,ACC002,24M,2023-07-23,2026-11-08,Expired,Auto-Renew
CON003,ACC003,No Lock-In,2024-10-27,2024-06-07,Active,Auto-Renew
CON004,ACC004,12M,2024-12-19,2026-07-18,Expired,None
CON005,ACC005,24M,2024-07-12,2026-09-04,Expired,Auto-Renew
CON006,ACC006,12M,2024-03-05,2024-11-11,Expired,Auto-Renew
CON007,ACC007,12M,2023-08-14,2026-05-16,Active,None
CON008,ACC008,24M,2024-04-04,2025-08-07,Active,None
CON009,ACC009,No Lock-In,2024-08-26,2025-05-15,Active,None
CON010,ACC010,12M,2023-10-12,2025-03-12,Active,Auto-Renew
