CustomerID,ARPU,LTV,ChurnRiskScore,NPSScore,CustomerTenure,LastUpdated
CUST001,51.88,1423.78,0.64,-67,24,2023-03-07
CUST002,51.88,1423.78,0.64,79,16,2023-12-13
CUST003,51.88,1423.78,0.64,37,55,2023-01-22
CUST004,51.88,1423.78,0.64,46,2,2024-08-25
CUST005,51.88,1423.78,0.64,85,49,2024-07-21
CUST006,51.88,1423.78,0.64,-5,28,2023-08-24
CUST007,51.88,1423.78,0.64,-100,32,2024-08-25
CUST008,51.88,1423.78,0.64,-32,27,2023-08-14
CUST009,51.88,1423.78,0.64,-97,20,2023-01-08
CUST010,51.88,1423.78,0.64,-85,24,2023-03-14
