DeviceID,DeviceType,Make,Model,IMEI,OS,ActivationDate,WarrantyExpiry
DEV001,Tablet,Samsung,iPhone 14,35985899371430,Android,2023-10-24,2026-01-15
DEV002,Phone,Oppo,Find X5,35899050535267,iOS,2023-03-23,2025-12-30
DEV003,Dongle,Apple,Find X5,35690383734374,Android,2023-08-27,2025-08-03
DEV004,Tablet,Apple,Galaxy S22,35516278088865,Android,2023-04-14,2026-11-18
DEV005,Dongle,Samsung,Galaxy S22,35705928833000,Android,2024-01-25,2025-10-01
DEV006,Dongle,Oppo,iPhone 14,35781304820142,iOS,2023-10-12,2026-12-20
DEV007,Phone,Oppo,Find X5,35732913403120,iOS,2024-04-09,2026-12-01
DEV008,Dongle,Samsung,Find X5,35873919986476,iOS,2024-10-12,2026-10-26
DEV009,Phone,Oppo,Find X5,35147543377362,iOS,2024-01-09,2025-03-15
DEV010,Dongle,Oppo,iPhone 14,35351948207513,iOS,2023-06-16,2026-09-16
