InvoiceID,AccountID,CustomerID,InvoiceDate,AmountBilled,Tax,Discount,AmountPaid,PaymentStatus
INV001,ACC001,CUST001,2023-03-07,216.55,21.66,10.83,216.55,Unpaid
INV002,ACC002,CUST002,2024-01-30,134.42,13.44,6.72,134.42,Unpaid
INV003,ACC003,CUST003,2024-01-26,282.92,28.29,14.15,282.92,Paid
INV004,ACC004,CUST004,2024-09-02,67.13,6.71,3.36,67.13,Unpaid
INV005,ACC005,CUST005,2024-04-24,122.09,12.21,6.1,122.09,Unpaid
INV006,ACC006,CUST006,2024-06-25,60.64,6.06,3.03,60.64,Paid
INV007,ACC007,CUST007,2023-09-15,279.67,27.97,13.98,279.67,Unpaid
INV008,ACC008,CUST008,2024-07-20,266.88,26.69,13.34,266.88,Paid
INV009,ACC009,CUST009,2023-01-12,99.64,9.96,4.98,99.64,Unpaid
INV010,ACC010,CUST010,2024-11-27,208.2,20.82,10.41,208.2,Unpaid
