UsageID,SubscriberID,UsageDate,UsageType,VolumeMB,MinutesUsed,SMSCount,Region,Roaming
USG001,SUB001,2023-03-29,Voice,2639.82,274.41,2,QLD,False
USG002,SUB002,2024-05-12,Voice,4399.13,155.85,32,VIC,False
USG003,SUB003,2023-03-12,SMS,3729.77,152.95,23,QLD,False
USG004,SUB004,2024-06-29,Voice,3515.38,240.5,22,NSW,True
USG005,SUB005,2023-05-09,Voice,3542.17,196.74,25,NSW,True
USG006,SUB006,2023-05-12,SMS,1861.51,212.08,22,NSW,True
USG007,SUB007,2024-11-06,Voice,1538.6,239.76,22,NSW,False
USG008,SUB008,2024-05-01,SMS,4065.87,267.55,49,QLD,False
USG009,SUB009,2024-07-16,Voice,4069.56,104.71,42,VIC,False
USG010,SUB010,2023-06-19,SMS,4348.65,115.8,6,NSW,True
