ServiceID,SubscriberID,ServiceType,Status,StartDate,EndDate,QualityOfService
SERV001,SUB001,TV,Active,2024-12-02,2026-08-04,Medium
SERV002,SUB002,Internet,Active,2023-11-29,2025-11-19,Low
SERV003,SUB003,Mobile,Inactive,2023-02-27,2025-08-06,Low
SERV004,SUB004,Mobile,Inactive,2023-08-23,2026-11-03,Medium
SERV005,SUB005,Mobile,Active,2023-02-02,2026-05-27,High
SERV006,SUB006,TV,Active,2023-11-20,2026-02-10,High
SERV007,SUB007,Internet,Inactive,2024-02-15,2026-10-21,Medium
SERV008,SUB008,Mobile,Active,2023-10-02,2026-04-15,High
SERV009,SUB009,Mobile,Active,2023-03-09,2025-05-27,Medium
SERV010,SUB010,Mobile,Active,2023-08-05,2025-09-29,Medium
