C360Entity,C360Attribute,SilverEntity,SilverAttribute
DimOrder,channel,silver_salesforce_dimorder,channel
DimOrder,order_date,silver_salesforce_dimorder,order_date
DimOrder,order_id,silver_billingsystem_dimorder,order_id
DimOrder,order_id,silver_billingsystem_dimorderitem,order_id
DimOrder,order_id,silver_salesforce_dimorder,order_id
DimOrder,order_id,silver_salesforce_dimorderitem,order_id
DimOrder,order_type,silver_salesforce_dimorder,order_type
DimOrderItem,quantity,silver_billingsystem_dimorderitem,quantity
DimOrderItem,quantity,silver_salesforce_dimorderitem,quantity
account,account_id,silver_billingsystem_contract,account_id
account,account_id,silver_billingsystem_invoice,account_id
account,account_id,silver_billingsystem_payment_method,account_id
account,account_id,silver_salesforce_account,account_id
account,billing_cycle,silver_salesforce_account,billing_cycle
account,currency,silver_salesforce_account,currency
address,address_id,silver_salesforce_address,address_id
address,city,silver_salesforce_address,city
address,country,silver_salesforce_address,country
address,postcode,silver_salesforce_address,postcode
address,state,silver_billingsystem_account,state
address,state,silver_salesforce_address,state
address,street,silver_salesforce_address,street
contact_point,contact_point_id,silver_salesforce_contact_point,contact_point_id
contact_point,preferred,silver_billingsystem_payment_method,preferred
contact_point,preferred,silver_salesforce_contact_point,preferred
contact_point,value,silver_billingsystem_dimorder,value
contact_point,value,silver_salesforce_contact_point,value
contact_point,verified,silver_salesforce_contact_point,verified
contract,contract_id,silver_billingsystem_contract,contract_id
contract,end,silver_provisioning_service,end
contract,enddate,silver_billingsystem_contract,enddate
contract,start,silver_provisioning_service,start
contract,startdate,silver_billingsystem_contract,startdate
customer_kpi,arpu,silver_analyticsengine_customer_kpi,arpu
customer_kpi,arpu,silver_billingsystem_customer_kpi,arpu
customer_kpi,churn_risk_score,silver_analyticsengine_customer_kpi,churn_risk_score
customer_kpi,churn_risk_score,silver_billingsystem_customer_kpi,churn_risk_score
customer_kpi,ltv,silver_analyticsengine_customer_kpi,ltv
customer_kpi,ltv,silver_billingsystem_customer_kpi,ltv
customer_party,customer_id,silver_billingsystem_customer_kpi,customer_id
customer_party,customer_id,silver_salesforce_account,customer_id
customer_party,customer_id,silver_salesforce_address,customer_id
customer_party,customer_id,silver_salesforce_contact_point,customer_id
customer_party,customer_id,silver_salesforce_customer_party,customer_id
customer_party,customer_id,silver_salesforce_dimorder,customer_id
customer_party,customer_tenure,silver_analyticsengine_customer_kpi,customer_tenure
customer_party,customer_tenure,silver_billingsystem_customer_kpi,customer_tenure
customer_party,dob,silver_salesforce_customer_party,dob
customer_party,full_name,silver_salesforce_customer_party,full_name
customer_party,gender,silver_salesforce_customer_party,gender
customer_party,kyc,silver_billingsystem_customer_party,kyc
customer_party,kyc_status,silver_salesforce_customer_party,kyc_status
customer_party,name,silver_billingsystem_customer_party,name
customer_party,nps_score,silver_analyticsengine_customer_kpi,nps_score
customer_party,nps_score,silver_billingsystem_customer_kpi,nps_score
customer_party,prod_name,silver_catalogdb_product,prod_name
customer_party,segment,silver_salesforce_customer_party,segment
device_resource,device_id,silver_provisioning_device_resource,device_id
device_resource,imei,silver_provisioning_device_resource,imei
device_resource,make,silver_provisioning_device_resource,make
device_resource,model,silver_provisioning_device_resource,model
device_resource,os,silver_provisioning_device_resource,os
device_resource,qos,silver_provisioning_service,qos
fact_invoice,invoice_id,silver_billingsystem_invoice,invoice_id
fact_usage,minutes,silver_usageplatform_fact_usage,minutes
fact_usage,sms,silver_analyticsengine_subscriber_kpi,sms
fact_usage,sms,silver_usageplatform_fact_usage,sms
fact_usage,usage_date,silver_usageplatform_fact_usage,usage_date
fact_usage,usage_id,silver_usageplatform_fact_usage,usage_id
fact_usage,volume,silver_usageplatform_fact_usage,volume
product,bundle,silver_catalogdb_product,bundle
product,discount,silver_catalogdb_product,discount
product,product_id,silver_billingsystem_dimorderitem,product_id
product,product_id,silver_salesforce_dimorderitem,product_id
service,service_id,silver_catalogdb_product,service_id
service,service_id,silver_provisioning_service,service_id
subscriber,activated,silver_provisioning_device_resource,activated
subscriber,activated,silver_provisioning_subscriber,activated
subscriber,msisdn,silver_provisioning_subscriber,msisdn
subscriber,order_status,silver_salesforce_dimorder,order_status
subscriber,sim,silver_provisioning_subscriber,sim
subscriber,status,silver_billingsystem_contract,status
subscriber,status,silver_billingsystem_dimorder,status
subscriber,status,silver_billingsystem_dimorderitem,status
subscriber,status,silver_billingsystem_invoice,status
subscriber,status,silver_salesforce_account,status
subscriber,status,silver_salesforce_dimorderitem,status
subscriber,sub_status,silver_provisioning_subscriber,sub_status
subscriber,subscriber_id,silver_analyticsengine_subscriber_kpi,subscriber_id
subscriber,subscriber_id,silver_provisioning_subscriber,subscriber_id
subscriber,subscriber_id,silver_usageplatform_fact_usage,subscriber_id
subscriber,svc_status,silver_provisioning_service,svc_status
subscriber_kpi,avg_data,silver_analyticsengine_subscriber_kpi,avg_data
subscriber_kpi,avg_voice,silver_analyticsengine_subscriber_kpi,avg_voice
subscriber_kpi,drop_rate,silver_analyticsengine_subscriber_kpi,drop_rate
subscriber_kpi,region,silver_analyticsengine_subscriber_kpi,region
subscriber_kpi,region,silver_usageplatform_fact_usage,region
unknown,acct_id,silver_billingsystem_account,acct_id
unknown,acct_type,silver_salesforce_account,acct_type
unknown,addresstype,silver_salesforce_address,addresstype
unknown,amount,silver_salesforce_dimorder,amount
unknown,birth_date,silver_billingsystem_customer_party,birth_date
unknown,c360table,silver_c360_source_to_target_mapping_master,c360table
unknown,c360table,silver_source_to_c360_mapping_additional,c360table
unknown,c360table,silver_source_to_c360_mapping_updated,c360table
unknown,cardtype,silver_billingsystem_payment_method,cardtype
unknown,contacttype,silver_salesforce_contact_point,contacttype
unknown,contract_ref,silver_provisioning_subscriber,contract_ref
unknown,contracttype,silver_billingsystem_contract,contracttype
unknown,created,silver_billingsystem_account,created
unknown,created_at,silver_salesforce_account,created_at
unknown,created_at,silver_salesforce_customer_party,created_at
unknown,created_on,silver_billingsystem_customer_party,created_on
unknown,cur,silver_billingsystem_account,cur
unknown,cust_id,silver_analyticsengine_customer_kpi,cust_id
unknown,custom,silver_billingsystem_account,custom
unknown,custom,silver_billingsystem_customer_party,custom
unknown,custom,silver_billingsystem_dimorder,custom
unknown,cycle,silver_billingsystem_account,cycle
unknown,date,silver_billingsystem_dimorder,date
unknown,dev_type,silver_provisioning_device_resource,dev_type
unknown,device_ref,silver_provisioning_subscriber,device_ref
unknown,duedate,silver_billingsystem_invoice,duedate
unknown,expirydate,silver_billingsystem_payment_method,expirydate
unknown,invoicedate,silver_billingsystem_invoice,invoicedate
unknown,last_updated,silver_analyticsengine_customer_kpi,last_updated
unknown,last_updated,silver_analyticsengine_subscriber_kpi,last_updated
unknown,last_updated,silver_salesforce_dimorder,last_updated
unknown,lastupdated,silver_billingsystem_customer_kpi,lastupdated
unknown,lastupdated,silver_salesforce_contact_point,lastupdated
unknown,lineamount,silver_billingsystem_dimorderitem,lineamount
unknown,lineamount,silver_salesforce_dimorderitem,lineamount
unknown,mappedattributes,silver_c360_source_to_target_mapping_master,mappedattributes
unknown,mappedattributes,silver_source_to_c360_mapping_additional,mappedattributes
unknown,mappedattributes,silver_source_to_c360_mapping_updated,mappedattributes
unknown,maskedcardnumber,silver_billingsystem_payment_method,maskedcardnumber
unknown,orderitemid,silver_billingsystem_dimorderitem,orderitemid
unknown,orderitemid,silver_salesforce_dimorderitem,orderitemid
unknown,origin,silver_billingsystem_dimorder,origin
unknown,paiddate,silver_billingsystem_invoice,paiddate
unknown,payment_method_id,silver_billingsystem_payment_method,payment_method_id
unknown,paymenttype,silver_billingsystem_payment_method,paymenttype
unknown,plan,silver_billingsystem_customer_party,plan
unknown,plan,silver_catalogdb_product,plan
unknown,prod_id,silver_catalogdb_product,prod_id
unknown,prod_type,silver_catalogdb_product,prod_type
unknown,renewalterms,silver_billingsystem_contract,renewalterms
unknown,roaming,silver_usageplatform_fact_usage,roaming
unknown,sex,silver_billingsystem_customer_party,sex
unknown,sourceentity,silver_c360_source_to_target_mapping_master,sourceentity
unknown,sourceentity,silver_source_to_c360_mapping_additional,sourceentity
unknown,sourceentity,silver_source_to_c360_mapping_updated,sourceentity
unknown,sourcesystem,silver_c360_source_to_target_mapping_master,sourcesystem
