Source Entity,Source Attribute,Target Entity,Target Attribute,Relationship Type
dimorderitem,OrderID,dimorder,OrderID,Foreign Key
dimorder,CustomerID,account,CustomerID,Foreign Key
fact_invoice,AccountID,account,AccountID,Foreign Key
fact_invoice,CustomerID,account,CustomerID,Foreign Key
account,AccountID,invoice,AccountID,Foreign Key
invoice,AccountID,account,AccountID,Foreign Key
invoice,InvoiceID,product,ProductID,Business Logic
invoice,InvoiceID,payment_method,PaymentMethodID,Business Logic
account,CustomerID,contact_point,CustomerID,Foreign Key
account,CustomerID,customer_party,CustomerID,Foreign Key
contact_point,CustomerID,customer_party,CustomerID,Foreign Key
customer_kpi,CustomerID,customer_party,CustomerID,Foreign Key
fact_customer_lifecycle,CustomerID,customer_party,CustomerID,Foreign Key
subscriber_kpi,SubscriberID,customer_party,CustomerID,Business Logic
customer_party,CustomerID,device_resource,DeviceID,Business Logic
customer_party,CustomerID,subscriber,SubscriberID,Business Logic
address,CustomerID,device_resource,DeviceID,Business Logic
contract,ContractID,device_resource,DeviceID,Business Logic
device_resource,DeviceID,subscriber,DeviceID,Foreign Key
fact_subscriber_lifecycle,SubscriberID,subscriber,SubscriberID,Foreign Key
fact_usage,SubscriberID,subscriber,SubscriberID,Foreign Key
fact_usage,SubscriberID,service,SubscriberID,Foreign Key
subscriber,SubscriberID,service,SubscriberID,Foreign Key
product,ServiceID,service,ServiceID,Foreign Key
contract,AccountID,account,AccountID,Foreign Key
dimorderitem,ProductID,product,ProductID,Foreign Key
subscriber,ContractID,contract,ContractID,Foreign Key
address,CustomerID,customer_party,CustomerID,Foreign Key
payment_method,AccountID,account,AccountID,Foreign Key
